,Date,Country,Status,AQI Value
705,2022-07-22,Vietnam,Unhealthy for Sensitive Groups,119
709,2022-07-23,Andorra,Good,33
711,2022-07-23,Argentina,Good,49
712,2022-07-23,Armenia,Good,41
713,2022-07-23,Australia,Moderate,81
714,2022-07-23,Austria,Good,28
715,2022-07-23,Azerbaijan,Good,23
717,2022-07-23,Bangladesh,Unhealthy for Sensitive Groups,141
718,2022-07-23,Belarus,Good,40
719,2022-07-23,Belgium,Good,48
723,2022-07-23,Bosnia and Herzegovina,Moderate,80
724,2022-07-23,Brazil,Unhealthy for Sensitive Groups,129
725,2022-07-23,Brunei,Good,10
726,2022-07-23,Bulgaria,Good,45
729,2022-07-23,Canada,Moderate,66
730,2022-07-23,Cape Verde,Moderate,51
734,2022-07-23,Chile,Unhealthy for Sensitive Groups,119
735,2022-07-23,China,Unhealthy for Sensitive Groups,141
736,2022-07-23,Colombia,Moderate,79
738,2022-07-23,Croatia,Good,39
739,2022-07-23,Cyprus,Good,46
740,2022-07-23,Czech Republic,Moderate,75
741,2022-07-23,Denmark,Good,10
742,2022-07-23,Dominican Republic,Good,23
743,2022-07-23,Ecuador,Moderate,56
746,2022-07-23,Estonia,Good,42
747,2022-07-23,Ethiopia,Unhealthy,163
748,2022-07-23,Finland,Good,37
749,2022-07-23,France,Unhealthy for Sensitive Groups,103
750,2022-07-23,French Guiana,Good,9
753,2022-07-23,Georgia,Good,39
754,2022-07-23,Germany,Moderate,60
755,2022-07-23,Ghana,Moderate,82
757,2022-07-23,Greece,Good,44
759,2022-07-23,Guadeloupe,Good,9
761,2022-07-23,Guatemala,Moderate,51
763,2022-07-23,Hong Kong,Moderate,57
765,2022-07-23,Iceland,Good,9
766,2022-07-23,India,Unhealthy for Sensitive Groups,141
767,2022-07-23,Indonesia,Moderate,93
770,2022-07-23,Ireland,Good,18
771,2022-07-23,Israel,Unhealthy for Sensitive Groups,112
772,2022-07-23,Italy,Unhealthy for Sensitive Groups,115
774,2022-07-23,Japan,Moderate,66
776,2022-07-23,Jordan,Good,27
777,2022-07-23,Kazakhstan,Moderate,64
778,2022-07-23,Kenya,Moderate,84
780,2022-07-23,Kuwait,Moderate,87
781,2022-07-23,Kyrgyzstan,Good,44
782,2022-07-23,Laos,Moderate,64
783,2022-07-23,Latvia,Good,18
786,2022-07-23,Liechtenstein,Good,14
787,2022-07-23,Lithuania,Good,48
789,2022-07-23,Macao,Moderate,59
790,2022-07-23,Macedonia,Moderate,55
791,2022-07-23,Madagascar,Good,32
792,2022-07-23,Malaysia,Moderate,59
793,2022-07-23,Malta,Good,39
794,2022-07-23,Martinique,Good,24
795,2022-07-23,Mexico,Moderate,77
796,2022-07-23,Moldova,Good,6
797,2022-07-23,Monaco,Good,35
798,2022-07-23,Mongolia,Good,36
799,2022-07-23,Montenegro,Moderate,56
800,2022-07-23,Myanmar,Good,32
801,2022-07-23,Nepal,Good,30
802,2022-07-23,Netherlands,Good,41
804,2022-07-23,New Zealand,Moderate,99
805,2022-07-23,Nigeria,Unhealthy for Sensitive Groups,105
806,2022-07-23,Norway,Good,20
807,2022-07-23,Pakistan,Moderate,91
808,2022-07-23,Palestinian Territory,Moderate,61
809,2022-07-23,Peru,Unhealthy for Sensitive Groups,110
810,2022-07-23,Philippines,Moderate,83
811,2022-07-23,Poland,Moderate,76
812,2022-07-23,Portugal,Good,26
815,2022-07-23,Reunion,Good,23
816,2022-07-23,Romania,Moderate,61
817,2022-07-23,Russia,Moderate,75
818,2022-07-23,San Marino,Moderate,59
820,2022-07-23,Serbia,Moderate,79
821,2022-07-23,Singapore,Good,47
822,2022-07-23,Slovakia,Moderate,74
823,2022-07-23,Slovenia,Moderate,89
824,2022-07-23,South Africa,Moderate,83
825,2022-07-23,South Korea,Moderate,91
826,2022-07-23,Spain,Unhealthy for Sensitive Groups,133
827,2022-07-23,Sri Lanka,Moderate,64
829,2022-07-23,Sweden,Good,11
830,2022-07-23,Switzerland,Good,41
831,2022-07-23,Taiwan,Moderate,58
832,2022-07-23,Tajikistan,Moderate,59
833,2022-07-23,Thailand,Moderate,95
835,2022-07-23,Trinidad and Tobago,Good,33
836,2022-07-23,Turkey,Moderate,71
838,2022-07-23,Uganda,Unhealthy for Sensitive Groups,124
839,2022-07-23,Ukraine,Good,46
840,2022-07-23,United Arab Emirates,Moderate,87
841,2022-07-23,United Kingdom of Great Britain and Northern Ireland,Good,42
842,2022-07-23,United States of America,Moderate,87
844,2022-07-23,Vatican,Moderate,68
846,2022-07-23,Vietnam,Moderate,87
850,2022-07-23,Andorra,Good,45
852,2022-07-23,Argentina,Moderate,62
853,2022-07-23,Armenia,Good,42
854,2022-07-23,Australia,Good,45
855,2022-07-23,Austria,Good,31
856,2022-07-23,Azerbaijan,Good,14
858,2022-07-23,Bangladesh,Unhealthy for Sensitive Groups,141
859,2022-07-23,Belarus,Moderate,58
860,2022-07-23,Belgium,Moderate,70
864,2022-07-23,Bosnia and Herzegovina,Moderate,74
865,2022-07-23,Brazil,Unhealthy for Sensitive Groups,105
866,2022-07-23,Brunei,Good,10
867,2022-07-23,Bulgaria,Good,39
870,2022-07-23,Canada,Moderate,71
871,2022-07-23,Cape Verde,Moderate,57
875,2022-07-23,Chile,Unhealthy for Sensitive Groups,131
876,2022-07-23,China,Unhealthy for Sensitive Groups,149
877,2022-07-23,Colombia,Moderate,66
879,2022-07-23,Croatia,Good,43
880,2022-07-23,Cyprus,Good,45
881,2022-07-23,Czech Republic,Moderate,80
882,2022-07-23,Denmark,Good,14
883,2022-07-23,Dominican Republic,Good,22
884,2022-07-23,Ecuador,Moderate,72
887,2022-07-23,Estonia,Good,23
888,2022-07-23,Ethiopia,Unhealthy for Sensitive Groups,119
889,2022-07-23,Finland,Good,20
890,2022-07-23,France,Moderate,64
891,2022-07-23,French Guiana,Good,18
894,2022-07-23,Georgia,Good,37
